wav_filename,wav_filesize,transcript
/media/shamim/New Volume/content/nl/MP3/wav/48ed95a77b.wav,131244,এটি শিল্পবোদ্ধা তো বটেই
/media/shamim/New Volume/content/nl/MP3/wav/4b4ba6a718.wav,102444,অবশ্য বলছে
/media/shamim/New Volume/content/nl/MP3/wav/4f69c79b28.wav,92844,পূর্ব লন্ডনের বাসিন্দা
/media/shamim/New Volume/content/nl/MP3/wav/451a5d80f8.wav,105644,রেখেছিলেন সিমেওনে
/media/shamim/New Volume/content/nl/MP3/wav/4fb857ca03.wav,102444,তাতে মনে হয়
/media/shamim/New Volume/content/nl/MP3/wav/4d4dab53da.wav,131244,যখন অনুরূপ সঙ্কট হয়েছিল
/media/shamim/New Volume/content/nl/MP3/wav/4c477a9fff.wav,89644,কিছু কথা
/media/shamim/New Volume/content/nl/MP3/wav/4b50524132.wav,112044,সম্মিলিত হয়ে
/media/shamim/New Volume/content/nl/MP3/wav/45a43dd04c.wav,137644,অবস্থিত একটি ঐতিহাসিক ঘাট
/media/shamim/New Volume/content/nl/MP3/wav/41bd854650.wav,92844,মুখ কালো করে
/media/shamim/New Volume/content/nl/MP3/wav/41c1259dcc.wav,73644,মীরাক্কেল
/media/shamim/New Volume/content/nl/MP3/wav/47350d1fe2.wav,83244,বল কাজ করে
/media/shamim/New Volume/content/nl/MP3/wav/411fd964eb.wav,89644,কোথায় তিনি খুঁজে পাবেন
/media/shamim/New Volume/content/nl/MP3/wav/41ed71f523.wav,160044,হিসাবধারী শিশু কিশোরদের
/media/shamim/New Volume/content/nl/MP3/wav/4204d12c11.wav,76844,শুরু করলো
/media/shamim/New Volume/content/nl/MP3/wav/43061eb2b5.wav,112044,কেন এগুলো লাগানো হয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/4c7d207f93.wav,240044,ডিজাইন রুটস এবার ঈদে হাজির হয়েছে নান্দনিক রং ও নকশার পোশাক নিয়ে।
/media/shamim/New Volume/content/nl/MP3/wav/4ece5c3884.wav,115244,বিয়ের পর পরিবারের থেকে
/media/shamim/New Volume/content/nl/MP3/wav/4cae4d1a55.wav,153644,কোথাও অসুবিধা হলে
/media/shamim/New Volume/content/nl/MP3/wav/4831967462.wav,83244,বাইবেলের গল্প অনুযায়ী
/media/shamim/New Volume/content/nl/MP3/wav/4a5f3931da.wav,150444,এই লাডি লইয়া আয়
/media/shamim/New Volume/content/nl/MP3/wav/41d8cd3efd.wav,153644,পরিদর্শন শেষে তারা
/media/shamim/New Volume/content/nl/MP3/wav/4d300c7dc1.wav,115244,দেখো না ছোটখাটো একটা
/media/shamim/New Volume/content/nl/MP3/wav/4184a12d3e.wav,105644,আমরা নিয়ে যাই বাংলা বিভাগে
/media/shamim/New Volume/content/nl/MP3/wav/4a55d72871.wav,92844,প্রধানমন্ত্রীর কার্যালয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4913fb52f6.wav,144044,শান্তি রঞ্জন চাকমার সন্তান
/media/shamim/New Volume/content/nl/MP3/wav/4f7609c98a.wav,140844,বিশ্বকাপে সেই পুরনো চিত্র
/media/shamim/New Volume/content/nl/MP3/wav/4a07d8131b.wav,86444,দেশের নাম
/media/shamim/New Volume/content/nl/MP3/wav/4bf4b09962.wav,75626,সবচেয়ে বড় চালান বলে
/media/shamim/New Volume/content/nl/MP3/wav/41f46778db.wav,115244,ইরান ফুটবল ফেডাশনের
/media/shamim/New Volume/content/nl/MP3/wav/4f01faf012.wav,89644,এর শেষ করা যাবে না
/media/shamim/New Volume/content/nl/MP3/wav/49b6075711.wav,121644,সে অনুযায়ী ব্যবস্থা নেওয়া হবে
/media/shamim/New Volume/content/nl/MP3/wav/49f21901f4.wav,115244,একটা জন্তু বা জীবের মধ্যে
/media/shamim/New Volume/content/nl/MP3/wav/4c99168c5f.wav,105644,রাজনৈতিক দল
/media/shamim/New Volume/content/nl/MP3/wav/429b14e50d.wav,105644,তারা এই রিমান্ড
/media/shamim/New Volume/content/nl/MP3/wav/4160719afe.wav,169644,আইআইজিগুলো নির্বিঘ্নে ব্যবসা করতে পারবে
/media/shamim/New Volume/content/nl/MP3/wav/44eda48684.wav,118444,নির্বাচনে বিভিন্ন দলের প্রার্থীরা
/media/shamim/New Volume/content/nl/MP3/wav/4f913fb01e.wav,102444,অনুরোধ করিলেন যে
/media/shamim/New Volume/content/nl/MP3/wav/4b97c82681.wav,105644,ব্যক্তি নিরাপত্তার
/media/shamim/New Volume/content/nl/MP3/wav/4761cb7d25.wav,105644,বোমাগুলো উদ্ধার করে
/media/shamim/New Volume/content/nl/MP3/wav/4ae531f7fc.wav,320044,৪চার হাজার ৮৬চার কোটি টাকার
/media/shamim/New Volume/content/nl/MP3/wav/4191713ea8.wav,166444,সমাবেশে এক সময়ের রাজনৈতিক শিষ্য
/media/shamim/New Volume/content/nl/MP3/wav/4b840c71d9.wav,70444,সকলেই খুলে বসে
/media/shamim/New Volume/content/nl/MP3/wav/42d475d546.wav,163244,সাধারণত যে প্রসঙ্গটি
/media/shamim/New Volume/content/nl/MP3/wav/46eb06b754.wav,67244,এক আট দলের
/media/shamim/New Volume/content/nl/MP3/wav/44976f36b1.wav,118444,মাথায় স্বাভাবিকভাবে
/media/shamim/New Volume/content/nl/MP3/wav/4f1eb52f1b.wav,89644,তারা মেয়েরা সব
/media/shamim/New Volume/content/nl/MP3/wav/45948c402b.wav,182444,৬৮০ রাউন্ড গুলি পান
/media/shamim/New Volume/content/nl/MP3/wav/4f459c4734.wav,102444,ফিক্সিং এর অভিযোগ উঠেছে
/media/shamim/New Volume/content/nl/MP3/wav/44243a14d8.wav,92844,এই সুযোগটা নেবে
/media/shamim/New Volume/content/nl/MP3/wav/4f0c9afbc5.wav,89644,ডানাকিল যোদ্ধারা
/media/shamim/New Volume/content/nl/MP3/wav/4e213fbd91.wav,172444,মৃত্যু ২০ মার্চ এক ৯৮৮
/media/shamim/New Volume/content/nl/MP3/wav/4ad9025476.wav,92844,আকাশ চৌধুরী
/media/shamim/New Volume/content/nl/MP3/wav/410349c554.wav,75936,জাহানারা তাঁর বড় ভাই
/media/shamim/New Volume/content/nl/MP3/wav/47e3a4a798.wav,96044,অত কঠিন দৃষ্টিতে
/media/shamim/New Volume/content/nl/MP3/wav/41fe55476a.wav,92844,রাস্তায় সমাবেশ কর
/media/shamim/New Volume/content/nl/MP3/wav/44b4ea3510.wav,172844,ধর্ষণ নারীর
/media/shamim/New Volume/content/nl/MP3/wav/477944857d.wav,128044,এবং রাজনৈতিক দল
/media/shamim/New Volume/content/nl/MP3/wav/47a84ef9ec.wav,102444,জরিমানাও করা হয়
/media/shamim/New Volume/content/nl/MP3/wav/4522d20c21.wav,121644,ফলে মঙ্গলবারের দুর্ঘটনার
/media/shamim/New Volume/content/nl/MP3/wav/45831db2a3.wav,115244,নানা ধরনের আঘাতের ধারাবাহিকতায়
/media/shamim/New Volume/content/nl/MP3/wav/4ce7844f6a.wav,124844,এগিয়ে চলেছ
/media/shamim/New Volume/content/nl/MP3/wav/4d29051a11.wav,124844,নেশা বা খ্যাপামি
/media/shamim/New Volume/content/nl/MP3/wav/4c15c1a96f.wav,112044,আনন্দের সূক্ষ্ম এক অনুভূতি
/media/shamim/New Volume/content/nl/MP3/wav/4103d13d49.wav,102444,কর্মজীবী নারীরও কি উচিত
/media/shamim/New Volume/content/nl/MP3/wav/4721bb20e0.wav,121644,বলিউডের এ হট গার্ল
/media/shamim/New Volume/content/nl/MP3/wav/4aab3ea32a.wav,83244,বন্ধ করে দেয়া হয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/42e0a5c0c2.wav,108844,ভালোবাসার তরণি ভাসিয়েছেন
/media/shamim/New Volume/content/nl/MP3/wav/4fe67d0716.wav,185644,নিক্ষেপকারীরাই অধিক ঝাঁজের মুখে পড়েন
/media/shamim/New Volume/content/nl/MP3/wav/4d8fa91087.wav,70444,পৃথিবীর ইতিহাস
/media/shamim/New Volume/content/nl/MP3/wav/4aec786c28.wav,176044,ইন্টেল ৮০৮০ সিপিইউ
/media/shamim/New Volume/content/nl/MP3/wav/4c1435dc68.wav,230444,বাংলাদেশের স্বরাষ্ট্রমন্ত্রী জানিয়েছেন এখানে রাজনৈতিক আশ্রয়ের জন্য অনুপ চেটিয়ার আবেদন সুপ্রিম কোর্টে রয়েছে।
/media/shamim/New Volume/content/nl/MP3/wav/41fab1f63c.wav,147244,পার্লামেন্টের এমপিদেরকে একথা বলেছেন
/media/shamim/New Volume/content/nl/MP3/wav/4e81c88dcb.wav,144044,চন্দ্রাবতী একাডেমি প্রকাশিত
/media/shamim/New Volume/content/nl/MP3/wav/4b0f56efbb.wav,67244,বাঁধা অবস্থায় ছিল
/media/shamim/New Volume/content/nl/MP3/wav/48d589e4e8.wav,99244,গড়ে তুলে
/media/shamim/New Volume/content/nl/MP3/wav/4a642a55b8.wav,112044,যখন এ ধরনের নববধুদের নিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4d317a722c.wav,86444,গত বছরের জুনে
/media/shamim/New Volume/content/nl/MP3/wav/46b20312ca.wav,140844,ঠিক বলেছ দাদা
/media/shamim/New Volume/content/nl/MP3/wav/48b83bfd8c.wav,179244,তার বাবা মুয়াম্মার গাদ্দাফি
/media/shamim/New Volume/content/nl/MP3/wav/4b4436beb0.wav,64044,এই গাছ
/media/shamim/New Volume/content/nl/MP3/wav/442843b4fc.wav,105644,জাফর ইকবাল উপন্যাস
/media/shamim/New Volume/content/nl/MP3/wav/46f44ca810.wav,137644,স্পিকার মীরা কুমারসহ
/media/shamim/New Volume/content/nl/MP3/wav/42cd7e3908.wav,131244,সারাবিশ্বে আল কায়দা যখন
/media/shamim/New Volume/content/nl/MP3/wav/456576c209.wav,166444,তাহার মধ্যে একটি পদ পুঁথি
/media/shamim/New Volume/content/nl/MP3/wav/49330ad3b1.wav,166444,অ্যাবা অবস্থান করেছে
/media/shamim/New Volume/content/nl/MP3/wav/4b9606fb1d.wav,121644,এখনো তার রয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/4ec7e669a2.wav,153644,বিশ্বের বৃহত্তম গণতন্ত্রের
/media/shamim/New Volume/content/nl/MP3/wav/4b29ccb688.wav,92844,কয়েকটি গাড়ি ভাংচুর হয়
/media/shamim/New Volume/content/nl/MP3/wav/446589921c.wav,86444,ছন্দমালা
/media/shamim/New Volume/content/nl/MP3/wav/44ecfd0da0.wav,112044,বসন্ত নাটিকা উৎসর্গ করেন
/media/shamim/New Volume/content/nl/MP3/wav/41024a60a5.wav,118444,প্রবৃদ্ধির হার কমে
/media/shamim/New Volume/content/nl/MP3/wav/46bf4f84de.wav,96044,সাধারণতঃ একই ধরনের
/media/shamim/New Volume/content/nl/MP3/wav/4a313b759a.wav,96044,মি শ্যারন পরোক্ষভাবে
/media/shamim/New Volume/content/nl/MP3/wav/4c561dd179.wav,96044,দ্বি পাক্ষিক সফর নির্ভর করবে
/media/shamim/New Volume/content/nl/MP3/wav/49d99f9f61.wav,44322,ক্যাচটি তালুবন্দী করেন
/media/shamim/New Volume/content/nl/MP3/wav/42344240be.wav,188844,৮৫তিন কোটি টাকা বেশি
/media/shamim/New Volume/content/nl/MP3/wav/418fe1903f.wav,108844,বরফ অবস্থায় ছিল
/media/shamim/New Volume/content/nl/MP3/wav/4c6eb61629.wav,96044,হাসপাতালের বাতাস
/media/shamim/New Volume/content/nl/MP3/wav/41211dbaff.wav,105644,তীব্র খাদ্যাভাব দেখা দেয়
/media/shamim/New Volume/content/nl/MP3/wav/46cb904368.wav,89644,সব কাহার চরণে
/media/shamim/New Volume/content/nl/MP3/wav/40f8629f2d.wav,124844,মোট পাঁচজনকে আসামি করা হয়
/media/shamim/New Volume/content/nl/MP3/wav/4eb6441819.wav,102400,পরিচয় হওয়ার
/media/shamim/New Volume/content/nl/MP3/wav/4b087ccf01.wav,140844,কণ্ঠশিল্পী মনির খান
/media/shamim/New Volume/content/nl/MP3/wav/4a0f9667ff.wav,214444,অবকাঠামোগত উন্নয়নে
/media/shamim/New Volume/content/nl/MP3/wav/4ac2643633.wav,86444,সন্দেহের তালিকার
/media/shamim/New Volume/content/nl/MP3/wav/46ae0a9b31.wav,86444,কান্না থামছে না
/media/shamim/New Volume/content/nl/MP3/wav/4a23957bcf.wav,122880,আউভার্জেন অঞ্চলে
/media/shamim/New Volume/content/nl/MP3/wav/44e7741f48.wav,121644,কিন্তু ইতিহাসের কোথাও
/media/shamim/New Volume/content/nl/MP3/wav/4d433620f4.wav,128044,তোমাদের যেন কষ্ট না হয়
/media/shamim/New Volume/content/nl/MP3/wav/44ad8f0141.wav,92844,রাজমা দিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/486e0231df.wav,70444,শিরোনামহীন
/media/shamim/New Volume/content/nl/MP3/wav/44444f2fdc.wav,86444,সেই মুহূর্তে
/media/shamim/New Volume/content/nl/MP3/wav/47b2bcfbf2.wav,80044,সঠিক জবাব মানেই
/media/shamim/New Volume/content/nl/MP3/wav/482d401c02.wav,134444,আমাদের চিন্তাভাবনার কথা
/media/shamim/New Volume/content/nl/MP3/wav/42a3427162.wav,96044,তাদের রবিবারের
/media/shamim/New Volume/content/nl/MP3/wav/46e2fd1d37.wav,128044,মন খারাপ করে
/media/shamim/New Volume/content/nl/MP3/wav/45af1813c7.wav,134444,রবীন্দ্রনাথ একটি প্রথার নাম
/media/shamim/New Volume/content/nl/MP3/wav/4d2c1da808.wav,134444,বন সৃজন ও রক্ষার্থে
/media/shamim/New Volume/content/nl/MP3/wav/472e86ae11.wav,172844,পাপেভরা অশুভ
/media/shamim/New Volume/content/nl/MP3/wav/4622003d23.wav,96044,শুক্রবার এই দুই তারকার
/media/shamim/New Volume/content/nl/MP3/wav/4ded565dea.wav,102444,ব্যবহার করেন নি
/media/shamim/New Volume/content/nl/MP3/wav/46f1be72e0.wav,83244,রাখাইন জমিদার কন্যা
/media/shamim/New Volume/content/nl/MP3/wav/4ccc088306.wav,99244,বিজ্ঞানী পি বায়েন
/media/shamim/New Volume/content/nl/MP3/wav/4d221c1654.wav,80044,খুব মজা করছি
/media/shamim/New Volume/content/nl/MP3/wav/44ba4d700d.wav,144044,গানেও পাবেন ঠিক
/media/shamim/New Volume/content/nl/MP3/wav/4d0b10593e.wav,76844,হিজড়া ছবি
/media/shamim/New Volume/content/nl/MP3/wav/4438975b77.wav,166444,স্যার এক ০ মিনিট পুরো লাগেনি
/media/shamim/New Volume/content/nl/MP3/wav/4e97120f19.wav,70444,একটু দেখল
/media/shamim/New Volume/content/nl/MP3/wav/49d50acf0a.wav,134444,শিশু এখনও নিখোঁজ
/media/shamim/New Volume/content/nl/MP3/wav/4d914418a5.wav,60844,তারা আছেন
/media/shamim/New Volume/content/nl/MP3/wav/48d06a69dd.wav,80044,এ রকম গল্প
/media/shamim/New Volume/content/nl/MP3/wav/4aba891185.wav,112044,এখন অসুস্থ হয়ে
/media/shamim/New Volume/content/nl/MP3/wav/47c49d1f1f.wav,128044,স্কুলে স্কুলে ট্যাবলেট দেবার
/media/shamim/New Volume/content/nl/MP3/wav/44bd384298.wav,108844,আলোচনা সমালোচনার কেন্দ্রবিন্দুতে
/media/shamim/New Volume/content/nl/MP3/wav/4ea7b960a7.wav,99244,কিছু নাম উঠে এসেছে
/media/shamim/New Volume/content/nl/MP3/wav/4543daae3b.wav,29089,চলে গেল অমলারা
/media/shamim/New Volume/content/nl/MP3/wav/47f95bc882.wav,108844,শহরতলীর রাধানগর এলাকায়
/media/shamim/New Volume/content/nl/MP3/wav/4a54012a37.wav,121644,অবতার বলা হয়
/media/shamim/New Volume/content/nl/MP3/wav/4b30b8c195.wav,137644,অ্যালুমিনিয়াম প্রকৃতিতে
/media/shamim/New Volume/content/nl/MP3/wav/48e0b6382a.wav,137644,ভোর সকালে ঘুম ভাঙ্গলে
/media/shamim/New Volume/content/nl/MP3/wav/4292a9e386.wav,67244,নিজের ক্ষেত্রে
/media/shamim/New Volume/content/nl/MP3/wav/4fb166a0df.wav,147244,এক ছয়  দশমিক ৭নয় শতাংশ
/media/shamim/New Volume/content/nl/MP3/wav/46cd4d0292.wav,172844,অগ্নি বরণ নাগ নাগিনী
/media/shamim/New Volume/content/nl/MP3/wav/4439dd9328.wav,121644,নানা হজ্ব থেকে ফিরে এসে
/media/shamim/New Volume/content/nl/MP3/wav/44dc3a4aa5.wav,112044,ধরে রাখতে পারে না
/media/shamim/New Volume/content/nl/MP3/wav/4469253bb7.wav,96044,গরম হইয়া উঠিল
/media/shamim/New Volume/content/nl/MP3/wav/4fa5d07f98.wav,102444,সামনের জানালা দিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4edbd6ac79.wav,86444,দ্বারা পরিবর্তন
/media/shamim/New Volume/content/nl/MP3/wav/483febd363.wav,86444,চামড়া শিল্প
/media/shamim/New Volume/content/nl/MP3/wav/49cd7aad81.wav,105644,আট পয়েন্ট এগিয়ে আছে
/media/shamim/New Volume/content/nl/MP3/wav/40e315e47b.wav,91223,কেউ জানত না
/media/shamim/New Volume/content/nl/MP3/wav/447c67ba55.wav,61820,নদীর তীরে ধান ক্ষেত
/media/shamim/New Volume/content/nl/MP3/wav/4cdbef1c22.wav,39293,অনন্ত নিঝুমতা
/media/shamim/New Volume/content/nl/MP3/wav/4a37576e66.wav,108844,প্রধানমন্ত্রীর কার্যালয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4c8590e890.wav,105644,চৈতালি মরে গেলেও
/media/shamim/New Volume/content/nl/MP3/wav/4ee31e37d4.wav,131244,ছোটবেলা থেকেই তিনি বেড়ে উঠেছেন
/media/shamim/New Volume/content/nl/MP3/wav/4dcebe9b58.wav,137644,অ্যালাউড না
/media/shamim/New Volume/content/nl/MP3/wav/46dcf06dc3.wav,89644,তিনি নেপালি রাজনীতিবিদ
/media/shamim/New Volume/content/nl/MP3/wav/4b6495d6c7.wav,99244,আধুনিক সব স্থাপনা
/media/shamim/New Volume/content/nl/MP3/wav/4bc834e5e9.wav,96044,গোল্লাছুট খেলা
/media/shamim/New Volume/content/nl/MP3/wav/44c426e0e6.wav,156844,জোটে বহু বন্ধু
/media/shamim/New Volume/content/nl/MP3/wav/4cfef43237.wav,112044,সে কি আমিই না আর কেউ
/media/shamim/New Volume/content/nl/MP3/wav/43437b3bdc.wav,128044,ডিজিটাল ক্যামেরায় ছবি বানিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4cf945ab76.wav,73644,বৃষ্টি পড়ে
/media/shamim/New Volume/content/nl/MP3/wav/4c1d24ea47.wav,140844,ইন্টার্নি ডাক্তারদের হাতাহাতির জেরে
/media/shamim/New Volume/content/nl/MP3/wav/4c16ad8aa3.wav,137644,দেশটির আয়তন প্রায়
/media/shamim/New Volume/content/nl/MP3/wav/45ebf02d87.wav,83244,দান করলাম
/media/shamim/New Volume/content/nl/MP3/wav/4fd4f93df3.wav,105644,আবারও একতাবদ্ধ হয়ে
/media/shamim/New Volume/content/nl/MP3/wav/468568f059.wav,73644,মূল কারণ
/media/shamim/New Volume/content/nl/MP3/wav/4aab465c68.wav,92844,আমার যাহা বক্তব্য
/media/shamim/New Volume/content/nl/MP3/wav/4b833adf85.wav,195244,তোমার সব ভালো লাগে কিন্তু তোমার হিজড়ার মতো নাচ আমার ভালো লাগে না
/media/shamim/New Volume/content/nl/MP3/wav/458005bb83.wav,84145,প্রধানতম পুঁথিগুলিতে
/media/shamim/New Volume/content/nl/MP3/wav/4a1611dc9b.wav,80044,ওই বীজ রোপনের
/media/shamim/New Volume/content/nl/MP3/wav/44c2836d82.wav,80044,বাগে আনতে
/media/shamim/New Volume/content/nl/MP3/wav/47b4e37f4b.wav,160044,এদিকে গত এক ছয়  নভেম্বর
/media/shamim/New Volume/content/nl/MP3/wav/49a5194f1f.wav,105644,ব্যবস্থা নিন
/media/shamim/New Volume/content/nl/MP3/wav/46d25a4b81.wav,121644,অর্থনৈতিক ও সামাজিক উন্নয়ন
/media/shamim/New Volume/content/nl/MP3/wav/4e41550ede.wav,115244,ক্রিকেট বোর্ডও
/media/shamim/New Volume/content/nl/MP3/wav/4a7d3e8adc.wav,153644,জীবনানন্দের সাতটি তারার তিমির
/media/shamim/New Volume/content/nl/MP3/wav/4b3c5eb8c2.wav,105644,সবকিছু চূড়ান্ত হয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/4a4c2663ec.wav,102444,গান গল্প ও উপন্যাস নিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/47461dc7b0.wav,121644,ফুলবাহারির মার পান খাওয়া
/media/shamim/New Volume/content/nl/MP3/wav/4d50454cfd.wav,105644,বৌকে তুলিয়া খাইয়াইল
/media/shamim/New Volume/content/nl/MP3/wav/45bc6d56d2.wav,96044,করলে দাঁড়ায়
/media/shamim/New Volume/content/nl/MP3/wav/49e77f14f2.wav,105644,নিরাসে প্রবৃত্ত হইলেন
/media/shamim/New Volume/content/nl/MP3/wav/4f4d3b5373.wav,128044,চট্টগ্রামের সিরাজুল ইসলাম
/media/shamim/New Volume/content/nl/MP3/wav/45bee85294.wav,121644,তিন মেপ্রধানমন্ত্রী
/media/shamim/New Volume/content/nl/MP3/wav/4441bd7427.wav,137644,বিষয়গুলো অন্তর্ভুক্ত করে
